コンセプト（学習する文字）,ユニット,コンセプト属性：難易度,部首,コンセプト属性：画数,コンセプト属性：音読み,コンセプト属性：訓読み,コンセプト属性：,学年(漢検),漢検,学年
商,漢字,N3,口,11,ショウ,あきな（い）,,小学3年(８級),8級,小学3年
号,漢字,N3,口,5,ゴウ,-,,小学3年(８級),8級,小学3年
君,漢字,N3,口,7,クン,きみ,,小学3年(８級),8級,小学3年
古,漢字,N5 ,口,5,コ,ふる（い）,adjective (age),小学2年(９級),9級,小学2年
合,漢字,N4 ,口,6,ゴウ・カッ,あ（う）,,小学2年(９級),9級,小学2年
台,漢字,N4 ,口,5,ダイ・タイ,-,,小学2年(９級),9級,小学2年
同,漢字,N4 ,口,6,ドウ,おな（じ）,,小学2年(９級),9級,小学2年
口,漢字,N5 ,口,3,コウ・ク,くち,body & face,小学1年 (１０級),10級,小学1年
名,漢字,N5 ,口,6,メイ・ミョウ,な,people & school,小学1年 (１０級),10級,小学1年
右,漢字,N5 ,口,5,ウ・ユウ,みぎ,position & direction,小学1年 (１０級),10級,小学1年
吹,漢字,N3,口,7,スイ,ふ(く),verb,,,
叫,漢字,N3,口,6,キョウ,さけ(ぶ),,,,
召,漢字,N3,口,5,ショウ,め(す),,,,
含,漢字,N3,口,7,ガン,ふく(む)・ふく(める),,,,
咲,漢字,N3,口,9,-,さく,,,,
喫,漢字,N3,口,12,キツ,-,,,,
吉,漢字,N1,口,6,キチ・キツ,よし,,,,
吏,漢字,N1,口,6,リ,-,,,,
吐,漢字,N1,口,6,ト,は(く),,,,
吟,漢字,N1,口,7,ギン,-,,,,
呈,漢字,N1,口,7,テイ,-,,,,
呉,漢字,N1,口,7,ゴ,くれ,,,,
哀,漢字,N1,口,9,アイ,あわ(れ)・あわ(れむ),,,,
哲,漢字,N1,口,10,テツ,-,,,,
唆,漢字,N1,口,10,サ,そそのか(す),,,,
唇,漢字,N1,口,10,シン,くちびる,,,,
唯,漢字,N1,口,11,ユイ・イ,ただ,,,,
啓,漢字,N1,口,11,ケイ,-,,,,
喚,漢字,N1,口,12,カン,わめ(く),,,,
喝,漢字,N1,口,11,カツ,-,,,,
喪,漢字,N1,口,12,ソウ,も,,,,
嗣,漢字,N1,口,13,シ,つぐ,,,,
嘆,漢字,N1,口,13,タン,なげ(かわしい)・なげ(く),,,,
嘱,漢字,N1,口,15,ショク,-,,,,
噴,漢字,N1,口,15,フン,ふ(く),,,,
嚇,漢字,N1,口,17,カク,おど(す),,,,
差,漢字,N3,工,10,サ,さ（す）,,小学4年(７級),7級,小学4年
工,漢字,N4 ,工,3,コウ・ク,-,,小学2年(９級),9級,小学2年
左,漢字,N5 ,工,5,サ,ひだり,position & direction,小学1年 (１０級),10級,小学1年
巨,漢字,N2,工,5,キョ,-,,,,
巧,漢字,N1,工,5,コウ,たく(み),,,,
術,漢字,N3,行,11,ジュツ,-,,小学5年(６級),6級,小学5年
衛,漢字,N1,行,16,エ・エイ,まもる,,小学5年(６級),6級,小学5年
街,漢字,N1,行,12,ガイ,まち,,小学4年(７級),7級,小学4年
行,漢字,N5 ,行,6,コウ・ギョウ,い（く）・ゆ（く）・おこな（う）,verb,小学2年(９級),9級,小学2年
衝,漢字,N1,行,15,ショウ,つ(く),,,,
衡,漢字,N1,行,16,コウ,-,,,,
香,漢字,N2,香,9,コウ・キョウ,かお（り）・か,,小学4年(７級),7級,小学4年
高,漢字,N5 ,高,10,コウ,たか（い）,adjective (height/price),小学2年(９級),9級,小学2年
黙,漢字,N1,黒,15,モク,だ(まる),,,,
黒,漢字,N4 ,黒,11,コク,くろ,adjective (color),小学2年(９級),9級,小学2年
骨,漢字,N2,骨,10,コツ,ほね,,小学6年(5級),5級,小学6年
髄,漢字,N1,骨,19,ズイ,-,,,,
良,漢字,N3,艮,7,リョウ,よ（い）,,小学4年(７級),7級,小学4年
盛,漢字,N1,皿,11,セイ・ジョウ,も（る）・も（れる）さか(ん),,小学6年(5級),5級,小学6年
盟,漢字,N1,皿,13,メイ,-,,小学6年(5級),5級,小学6年
益,漢字,N1,皿,10,エキ・ヤク,ま(す),,小学5年(６級),6級,小学5年
皿,漢字,N2,皿,5,-,さら,,小学3年(８級),8級,小学3年
盗,漢字,N3,皿,11,トウ,ぬす(む),,,,
盆,漢字,N1,皿,9,ボン,-,,,,
監,漢字,N1,皿,14,カン,-,,,,
盤,漢字,N1,皿,15,バン,-,,,,
岐,漢字,N1,山,7,キ・ギ,-,,小学4年(７級),7級,小学4年
崎,漢字,N1,山,11,-,さき,,小学4年(７級),7級,小学4年
岡,漢字,,山,8,-,おか,,小学4年(７級),7級,小学4年
岸,漢字,N2,山,8,ガン,きし,,小学3年(８級),8級,小学3年
島,漢字,N2,山,10,トウ,しま,,小学3年(８級),8級,小学3年
岩,漢字,N2,山,8,ガン,いわ,,小学2年(９級),9級,小学2年
山,漢字,N5 ,山,3,サン,やま,nature & weather,小学1年 (１０級),10級,小学1年
岬,漢字,N1,山,8,コウ,みさき,,,,
岳,漢字,N1,山,8,ガク,たけ,,,,
峠,漢字,N1,山,9,-,とうげ,,,,
峡,漢字,N1,山,9,キョウ,はざま,,,,
峰,漢字,N1,山,10,ホウ,みね,,,,
崇,漢字,N1,山,11,スウ,あが(める),,,,
崩,漢字,N1,山,11,ホウ,くず(れる)・くず(す),,,,
士,漢字,N1,士,3,シ,-,,小学5年(６級),6級,小学5年
声,漢字,N4 ,士,7,セイ,こえ,body & face,小学2年(９級),9級,小学2年
壮,漢字,N1,士,6,ソウ,-,,,,
壱,漢字,N1,士,7,イチ,-,,,,
存,漢字,N3,子,6,ソン・ゾン,-,,小学6年(5級),5級,小学6年
孝,漢字,N1,子,7,コウ,-,,小学6年(5級),5級,小学6年
季,漢字,N2,子,8,キ,-,,小学4年(７級),7級,小学4年
孫,漢字,N2,子,10,ソン,まご,,小学4年(７級),7級,小学4年
子,漢字,N5 ,子,3,シ・ス,こ,people & school,小学1年 (１０級),10級,小学1年
学,漢字,N5 ,子,8,ガク,まな（ぶ）,people & school,小学1年 (１０級),10級,小学1年
字,漢字,N4 ,子,6,ジ,あざ,,小学1年 (１０級),10級,小学1年
孔,漢字,N1,子,4,コウ,はなはだ,,,,
孤,漢字,N1,子,8,コ,みなしご,,,,
支,漢字,N3,支,4,シ,ささ（える）,,小学5年(６級),6級,小学5年
武,漢字,N2,止,8,ブ・ム,-,,小学5年(６級),6級,小学5年
歴,漢字,N2,止,14,レキ,へ（る）,,小学5年(６級),6級,小学5年
歩,漢字,N4 ,止,8,ホ・フ・ブ,ある（く）・あゆ（む）,verb,小学2年(９級),9級,小学2年
止,漢字,N4 ,止,4,シ,と（まる）,verb,小学2年(９級),9級,小学2年
正,漢字,N4 ,止,5,セイ・ショウ,ただ（しい）・まさ,,小学1年 (１０級),10級,小学1年
歳,漢字,N3,止,13,サイ・セイ,-,,,,
民,漢字,N3,氏,5,ミン,-,,小学4年(７級),7級,小学4年
氏,漢字,N1,氏,4,シ,-,,小学4年(７級),7級,小学4年
紅,漢字,N2,糸,9,コウ・ク,べに・あか（い）・くれない,,小学6年(5級),5級,小学6年
純,漢字,N2,糸,10,ジュン,-,,小学6年(5級),5級,小学6年
系,漢字,N1,糸,7,ケイ,-,,小学6年(5級),5級,小学6年
納,漢字,N1,糸,10,ノウ・ナッ・ナン・トウ,おさ（める）,,小学6年(5級),5級,小学6年
絹,漢字,N1,糸,13,ケン,きぬ,,小学6年(5級),5級,小学6年
縦,漢字,N1,糸,16,ジュウ,たて,,小学6年(5級),5級,小学6年
縮,漢字,N1,糸,17,シュク,ちぢ（む）・ちぢ（める）,,小学6年(5級),5級,小学6年
経,漢字,N3,糸,11,ケイ・キョウ,へ（る）,,小学5年(６級),6級,小学5年
絶,漢字,N3,糸,12,ゼツ,た（つ）・た（える）,,小学5年(６級),6級,小学5年
綿,漢字,N2,糸,14,メン,わた,,小学5年(６級),6級,小学5年
総,漢字,N2,糸,14,ソウ,す（べる）・ふさ,,小学5年(６級),6級,小学5年
編,漢字,N2,糸,15,ヘン,あ（む）,,小学5年(６級),6級,小学5年
績,漢字,N2,糸,17,セキ,-,,小学5年(６級),6級,小学5年
紀,漢字,N1,糸,9,キ,のり・しる（す),,小学5年(６級),6級,小学5年
素,漢字,N1,糸,10,ソ・ス,もと,,小学5年(６級),6級,小学5年
統,漢字,N1,糸,12,トウ,す（べる）,,小学5年(６級),6級,小学5年
織,漢字,N1,糸,18,ショク・シキ,お（る）,,小学5年(６級),6級,小学5年
約,漢字,N3,糸,9,ヤク,-,,小学4年(７級),7級,小学4年
給,漢字,N3,糸,12,キュウ,-,,小学4年(７級),7級,小学4年
続,漢字,N3,糸,13,ゾク,つづ（く）・つづ（ける）,,小学4年(７級),7級,小学4年
結,漢字,N1,糸,12,ケツ,むす（ぶ）,,小学4年(７級),7級,小学4年
縄,漢字,N1,糸,15,ジョウ,なわ,,小学4年(７級),7級,小学4年
終,漢字,N4 ,糸,11,シュウ,お（わり）,verb,小学3年(８級),8級,小学3年
緑,漢字,N2,糸,14,リョク,みどり,,小学3年(８級),8級,小学3年
練,漢字,N2,糸,14,レン,-,,小学3年(８級),8級,小学3年
級,漢字,N1,糸,9,キュウ,-,,小学3年(８級),8級,小学3年
組,漢字,N4 ,糸,11,ソ,くみ・く（む）,verb,小学2年(９級),9級,小学2年
紙,漢字,N4 ,糸,10,シ,かみ,,小学2年(９級),9級,小学2年
絵,漢字,N4 ,糸,12,カイ,え,,小学2年(９級),9級,小学2年
細,漢字,N3,糸,11,サイ,ほそ(い)・こま(かい),,小学2年(９級),9級,小学2年
線,漢字,N2,糸,15,セン,-,,小学2年(９級),9級,小学2年
糸,漢字,N2,糸,6,シ,いと,,小学1年 (１０級),10級,小学1年
緒,漢字,N3,糸,14,ショ・チョ,お,,,,
紹,漢字,N2,糸,11,ショウ,-,,,,
絡,漢字,N2,糸,12,ラク,から(む)・から(まる),,,,
糾,漢字,N1,糸,9,キュウ,ただ(す),,,,
紋,漢字,N1,糸,10,モン,-,,,,
紛,漢字,N1,糸,10,フン,まぎ(れる)・まぎ(らす)・まぎ(らわしい)・まぎ(らわす),,,,
紡,漢字,N1,糸,10,ボウ,つむ(ぐ),,,,
索,漢字,N1,糸,10,サク,-,,,,
紫,漢字,N1,糸,12,シ,むらさき,,,,
累,漢字,N1,糸,11,ルイ,-,,,,
紳,漢字,N1,糸,11,シン,-,,,,
紺,漢字,N1,糸,11,コン,-,,,,
絞,漢字,N1,糸,12,コウ,しぼ(る)、し(める)、し(まる),,,,
継,漢字,N1,糸,13,ケイ,つ(ぐ),,,,
維,漢字,N1,糸,14,イ,-,,,,
綱,漢字,N1,糸,14,コウ,つな,,,,
網,漢字,N1,糸,14,モウ,あみ,,,,
緊,漢字,N1,糸,15,キン,-,,,,
締,漢字,N1,糸,15,テイ,し(まる)・し(める),,,,
緩,漢字,N1,糸,15,カン,ゆる(い)・ゆる(む)・ゆる(める)・ゆる(やか),,,,
緯,漢字,N1,糸,16,イ,よこいと,,,,
縁,漢字,N1,糸,15,エン,ふち,,,,
縛,漢字,N1,糸,16,バク,しば(る),,,,
縫,漢字,N1,糸,16,ホウ,ぬ(う),,,,
繁,漢字,N1,糸,16,ハン,-,,,,
繊,漢字,N1,糸,17,セン,-,,,,
繕,漢字,N1,糸,18,ゼン,つくろ(う),,,,
繭,漢字,N1,糸,18,ケン,まゆ,,,,
繰,漢字,N1,糸,19,ソウ,く(る),,,,
至,漢字,N1,至,6,シ,いた（る）・いたり,,小学6年(5級),5級,小学6年
致,漢字,N1,至,10,チ,いた(す),,,,
齢,漢字,N2,歯,17,レイ,-,,,,
歯,漢字,N3,歯,12,シ,は,,小学3年(８級),8級,小学3年
秘,漢字,N1,示,10,ヒ,ひ（める）,,小学6年(5級),5級,小学6年
示,漢字,N3,示,5,シ・ジ,しめ（す）,,小学5年(６級),6級,小学5年
祖,漢字,N3,示,9,ソ,-,,小学5年(６級),6級,小学5年
禁,漢字,N2,示,13,キン,-,,小学5年(６級),6級,小学5年
票,漢字,N1,示,11,ヒョウ,-,,小学4年(７級),7級,小学4年
祝,漢字,N2,示,9,シュク,いわ（う）,,小学4年(７級),7級,小学4年
礼,漢字,N3,示,5,レイ,-,,小学3年(８級),8級,小学3年
神,漢字,N3,示,9,シン・ジン,かみ・こう・かん,,小学3年(８級),8級,小学3年
福,漢字,N3,示,13,フク,-,,小学3年(８級),8級,小学3年
祭,漢字,N2,示,11,サイ,まつ（り）,,小学3年(８級),8級,小学3年
社,漢字,N4 ,示,7,シャ,やしろ,,小学2年(９級),9級,小学2年
祈,漢字,N2,示,8,キ,いの(る),,,,
祉,漢字,N1,示,8,シ,-,,,,
祥,漢字,N1,示,10,ショウ,さいわい,,,,
禅,漢字,N1,示,13,ゼン,-,,,,
禍,漢字,N1,示,13,カ,わざわい,,,,
耐,漢字,N1,而,9,タイ,た(える),,,,
聖,漢字,N1,耳,13,セイ・ショウ,ひじり,,小学6年(5級),5級,小学6年
職,漢字,N3,耳,18,ショク,-,,小学5年(６級),6級,小学5年
聞,漢字,N5 ,耳,14,ブン・モン,き（く）,people & school,小学2年(９級),9級,小学2年
耳,漢字,N5 ,耳,6,ジ,みみ,body & face,小学1年 (１０級),10級,小学1年
聴,漢字,N1,耳,17,チョウ,き(く),,,,
自,漢字,N4 ,自,6,ジ・シ,みずか（ら）,,小学2年(９級),9級,小学2年
臭,漢字,N1,自,10,シュウ,くさ(い)・にお(い),,,,
鹿,漢字,,鹿,11,-,しか,,小学4年(７級),7級,小学4年
麗,漢字,N1,鹿,19,レイ,うるわ(しい),,,,
輸,漢字,,車,16,ユ,-,,小学5年(６級),6級,小学5年
軍,漢字,N2,車,9,グン,-,,小学4年(７級),7級,小学4年
輪,漢字,N2,車,15,リン,わ,,小学4年(７級),7級,小学4年
軽,漢字,N4 ,車,12,ケイ,かる（い）・かろ（やか）,adjective (),小学3年(８級),8級,小学3年
転,漢字,N4 ,車,11,テン,ころ（ぶ）・ころ（がる）,verb,小学3年(８級),8級,小学3年
車,漢字,N5 ,車,7,シャ,くるま,transportation,小学1年 (１０級),10級,小学1年
軒,漢字,N2,車,10,ケン,のき,,,,
軟,漢字,N2,車,11,ナン,やわ(らかい),,,,
軌,漢字,N1,車,9,キ,-,,,,
軸,漢字,N1,車,12,ジク,-,,,,
較,漢字,N1,車,13,カク,-,,,,
載,漢字,N1,車,13,サイ,の(せる)・の(る),,,,
輝,漢字,N1,車,15,キ,かがや(く),,,,
輩,漢字,N1,車,15,ハイ,-,,,,
轄,漢字,N1,車,17,カツ,-,,,,
拝,漢字,N2,手,8,ハイ,おが（む）,,小学6年(5級),5級,小学6年
探,漢字,N3,手,11,タン,さが（す）・さぐ（る）,,小学6年(5級),5級,小学6年
承,漢字,N2,手,8,ショウ,うけたまわ（る）,,小学6年(5級),5級,小学6年
担,漢字,N2,手,8,タン,かつ（ぐ）・にな（う）,,小学6年(5級),5級,小学6年
捨,漢字,N2,手,11,シャ,す（てる）,,小学6年(5級),5級,小学6年
批,漢字,N1,手,7,ヒ,-,,小学6年(5級),5級,小学6年
拡,漢字,N1,手,8,カク,ひろ（がる）,,小学6年(5級),5級,小学6年
推,漢字,N1,手,11,スイ,お（す）,,小学6年(5級),5級,小学6年
揮,漢字,N1,手,12,キ,ふる（う）,,小学6年(5級),5級,小学6年
操,漢字,N1,手,16,ソウ,あやつ（る）,,小学6年(5級),5級,小学6年
招,漢字,N3,手,8,ショウ,まね（く）,,小学5年(６級),6級,小学5年
技,漢字,N2,手,7,ギ,わざ,,小学5年(６級),6級,小学5年
採,漢字,N2,手,11,サイ,と（る）,,小学5年(６級),6級,小学5年
接,漢字,N2,手,11,セツ,つ（ぐ）,,小学5年(６級),6級,小学5年
損,漢字,N2,手,13,ソン,そこ（なう）,,小学5年(６級),6級,小学5年
授,漢字,N1,手,11,ジュ,さず（かる）,,小学5年(６級),6級,小学5年
提,漢字,N1,手,12,テイ,さ（げる）,,小学5年(６級),6級,小学5年
折,漢字,N3,手,7,セツ,お（れる）・おり,,小学4年(７級),7級,小学4年
挙,漢字,N1,手,10,キョ,あ（げる）,,小学4年(７級),7級,小学4年
持,漢字,N4 ,手,9,ジ,も（つ）,verb,小学3年(８級),8級,小学3年
打,漢字,N3,手,5,ダ,う（つ）,,小学3年(８級),8級,小学3年
投,漢字,N3,手,7,トウ,な（げる）,,小学3年(８級),8級,小学3年
指,漢字,N3,手,9,シ,ゆび,,小学3年(８級),8級,小学3年
拾,漢字,N2,手,9,シュウ・ジュウ,ひろ（う）,,小学3年(８級),8級,小学3年
才,漢字,N4 ,手,3,サイ,-,,小学2年(９級),9級,小学2年
手,漢字,N5 ,手,4,シュ,て・た,body & face,小学1年 (１０級),10級,小学1年
払,漢字,N3,手,5,フツ,はら（う）,,,,
抜,漢字,N3,手,8,バツ,ぬ(く)・ぬ(ける),,,,
抱,漢字,N3,手,8,ホウ,だ(く)・いだ(く)・かか(える),,,,
押,漢字,N3,手,8,オウ,お（す）・お（さえる）,,,,
捕,漢字,N3,手,10,ホ,とら(える)・つか(まえる),,,,
掛,漢字,N3,手,11,カイ・ケ,か（ける）・か（かる）,,,,
挟,漢字,N2,手,9,キョウ,はさ(む)・はさ(まる),,,,
捜,漢字,N2,手,10,ソウ,さが(す),,,,
掃,漢字,N2,手,11,ソウ,は(く),,,,
掘,漢字,N2,手,11,クツ,ほ(る),,,,
換,漢字,N2,手,12,カン,か(える)・か(わる),,,,
扱,漢字,N1,手,6,ソウ,あつか(う),,,,
扶,漢字,N1,手,7,フ,たす(ける),,,,
抄,漢字,N1,手,7,ショウ,-,,,,
把,漢字,N1,手,7,ハ,-,,,,
抑,漢字,N1,手,7,ヨク,おさ(える),,,,
抗,漢字,N1,手,8,コウ,あらが(う),,,,
択,漢字,N1,手,7,タク,えら(ぶ),,,,
披,漢字,N1,手,8,ヒ,-,,,,
抵,漢字,N1,手,8,テイ,-,,,,
抹,漢字,N1,手,8,マツ,-,,,,
抽,漢字,N1,手,8,チュウ,-,,,,
拍,漢字,N1,手,8,ハク、ヒョウ,-,,,,
拐,漢字,N1,手,8,カイ,-,,,,
拒,漢字,N1,手,8,キョ,こば(む),,,,
拓,漢字,N1,手,8,タク,ひら(く),,,,
拘,漢字,N1,手,8,コウ,かか(わる),,,,
拙,漢字,N1,手,8,セツ,つたな(い)　,,,,
拠,漢字,N1,手,8,キョ,よ(る),,,,
括,漢字,N1,手,9,カツ,くく(る),,,,
拷,漢字,N1,手,9,ゴウ,-,,,,
挑,漢字,N1,手,9,チョウ,いど(む),,,,
振,漢字,N1,手,10,シン,ふ(る)・ふ(れる),,,,
挿,漢字,N1,手,10,ソウ,さ(す),,,,
据,漢字,N1,手,11,キョ,す(える)・す(わる),,,,
掌,漢字,N1,手,12,ショウ,たなごころ,,,,
排,漢字,N1,手,11,ハイ,-,,,,
控,漢字,N1,手,11,コウ,ひか(える),,,,
措,漢字,N1,手,11,ソ,-,,,,
掲,漢字,N1,手,11,ケイ,かか(げる),,,,
描,漢字,N1,手,11,ビョウ,えが(く)・か(く),,,,
揚,漢字,N1,手,12,ヨウ,あ(げる)・あ(がる),,,,
握,漢字,N1,手,12,アク,にぎ(る),,,,
援,漢字,N1,手,12,エン,-,,,,
揺,漢字,N1,手,12,ヨウ,ゆ(れる)・ゆ(らぐ)・ゆ(さぶる),,,,
搬,漢字,N1,手,13,ハン,-,,,,
搭,漢字,N1,手,12,トウ,-,,,,
携,漢字,N1,手,13,ケイ,たずさ(わる)・たずさ(える),,,,
搾,漢字,N1,手,13,サク,しぼ(る),,,,
摂,漢字,N1,手,13,セツ,-,,,,
摘,漢字,N1,手,14,テキ,つ(む),,,,
摩,漢字,N1,手,15,マ,す(る),,,,
撃,漢字,N1,手,15,ゲキ,う(つ),,,,
撤,漢字,N1,手,15,テツ,-,,,,
撮,漢字,N1,手,15,サツ,と(る),,,,
撲,漢字,N1,手,15,ボク,-,,,,
擁,漢字,N1,手,16,ヨウ,-,,,,
擦,漢字,N1,手,17,サツ,す(る)・す(れる),,,,
擬,漢字,N1,手,17,ギ,ぎ(する),,,,
首,漢字,N5 ,首,9,シュ,くび,body & face,小学2年(９級),9級,小学2年
航,漢字,N2,舟,10,コウ,-,,小学5年(６級),6級,小学5年
船,漢字,N4 ,舟,11,セン,ふね・ふな,,小学2年(９級),9級,小学2年
舟,漢字,N2,舟,6,シュウ,ふね・ふな,,,,
般,漢字,N2,舟,10,ハン,-,,,,
舶,漢字,N1,舟,11,ハク,-,,,,
艇,漢字,N1,舟,13,テイ,-,,,,
艦,漢字,N1,舟,21,カン,-,,,,
卒,漢字,N2,十,8,ソツ,-,,小学4年(７級),7級,小学4年
協,漢字,N2,十,8,キョウ,-,,小学4年(７級),7級,小学4年
博,漢字,N1,十,12,ハク,-,,小学4年(７級),7級,小学4年
半,漢字,N5 ,十,5,ハン,なか（ば）,days & times,小学2年(９級),9級,小学2年
午,漢字,N5 ,十,4,ゴ,うま,days & times,小学2年(９級),9級,小学2年
南,漢字,N5 ,十,9,ナン,みなみ,position & direction,小学2年(９級),9級,小学2年
十,漢字,N5 ,十,2,ジュウ・ジッ,とお・と,numbers,小学1年 (１０級),10級,小学1年
千,漢字,N5 ,十,3,セン,チ,numbers,小学1年 (１０級),10級,小学1年
升,漢字,N1,十,4,ショウ,ます,,,,
卑,漢字,N1,十,9,ヒ,いや(しい),,,,
卓,漢字,N1,十,8,タク,-,,,,
姿,漢字,N1,女,9,シ,すがた,,小学6年(5級),5級,小学6年
妻,漢字,N3,女,8,サイ,つま,,小学5年(６級),6級,小学5年
婦,漢字,N3,女,11,フ,-,,小学5年(６級),6級,小学5年
好,漢字,N3,女,6,コウ,この（み）・す（き）,,小学4年(７級),7級,小学4年
媛,漢字,,女,12,ヒン,ひめ,,小学4年(７級),7級,小学4年
始,漢字,N4 ,女,8,シ,はじ（める）・はじ（まる）,verb,小学3年(８級),8級,小学3年
委,漢字,N2,女,8,イ,ゆだ（ねる）,,小学3年(８級),8級,小学3年
妹,漢字,N4 ,女,8,マイ,いもうと,people,小学2年(９級),9級,小学2年
姉,漢字,N4 ,女,8,シ,あね・ねえ,people,小学2年(９級),9級,小学2年
女,漢字,N5 ,女,3,ジョ・ニョ・ニョウ,おんな・め,people & school,小学1年 (１０級),10級,小学1年
娘,漢字,N3,女,10,-,むすめ,,,,
婚,漢字,N3,女,11,コン,-,,,,
姓,漢字,N2,女,8,セイ・ショウ,-,,,,
奴,漢字,N1,女,5,ド,やつ,,,,
如,漢字,N1,女,6,ジョ・ニ,ごと(く),,,,
妃,漢字,N1,女,6,ヒ,きさき,,,,
妄,漢字,N1,女,6,モウ・ボウ,妄(りに),,,,
妊,漢字,N1,女,7,ニン,-,,,,
妙,漢字,N1,女,7,ミョウ,たえ,,,,
妥,漢字,N1,女,7,タ,おだやか,,,,
妨,漢字,N1,女,7,ボウ,さまた(げる),,,,
姫,漢字,N1,女,10,キ,ひめ,,,,
姻,漢字,N1,女,9,イン,-,,,,
威,漢字,N1,女,9,イ,おど(す)・おど(かす),,,,
娠,漢字,N1,女,10,シン,-,,,,
娯,漢字,N1,女,10,ゴ,たの(しむ),,,,
婆,漢字,N1,女,11,バ,ばば,,,,
婿,漢字,N1,女,12,セイ,むこ,,,,
媒,漢字,N1,女,12,バイ,なかだち,,,,
嫁,漢字,N1,女,13,カ,よめ・とつ(ぐ),,,,
嫌,漢字,N1,女,13,ケン・ゲン,きら(う)・いや,,,,
嫡,漢字,N1,女,14,チャク・テキ,-,,,,
嬢,漢字,N1,女,16,ジョウ,むすめ,,,,
少,漢字,N5 ,小,4,ショウ,すく（ない）・すこ（し）,adjective (amount),小学2年(９級),9級,小学2年
当,漢字,N4 ,小,6,トウ,あ（たる）,verb,小学2年(９級),9級,小学2年
小,漢字,N5 ,小,3,ショウ,ちい（さい）・こ・お,adjective (size),小学1年 (１０級),10級,小学1年
尚,漢字,N1,小,8,ショウ,なお・とうとぶ・たっとぶ,,,,
色,漢字,N4 ,色,6,シキ・ショク,いろ,adjective (color),小学2年(９級),9級,小学2年
飼,漢字,N1,食,13,シ,か（う）,,小学5年(６級),6級,小学5年
飯,漢字,N4 ,食,12,ハン,めし,,小学4年(７級),7級,小学4年
養,漢字,N1,食,15,ヨウ,やしな（う）,,小学4年(７級),7級,小学4年
館,漢字,N4 ,食,16,カン,やかた,place,小学3年(８級),8級,小学3年
飲,漢字,N5 ,食,12,イン,の（む）,verb,小学3年(８級),8級,小学3年
食,漢字,N5 ,食,9,ショク,た（べる）・く（う）,verb,小学2年(９級),9級,小学2年
飢,漢字,N1,食,10,キ,う(える),,,,
飽,漢字,N1,食,13,ホウ,あ(きる)・あ(かす),,,,
飾,漢字,N1,食,13,ショク,かざ(る),,,,
餓,漢字,N1,食,15,ガ,-,,,,
忘,漢字,N3,心,7,ボウ,わす（れる）,,小学6年(5級),5級,小学6年
忠,漢字,N1,心,8,チュウ,-,,小学6年(5級),5級,小学6年
恩,漢字,N1,心,10,オン,-,,小学6年(5級),5級,小学6年
憲,漢字,N1,心,16,ケン,-,,小学6年(5級),5級,小学6年
性,漢字,N3,心,8,セイ・ショウ,-,,小学5年(６級),6級,小学5年
情,漢字,N3,心,11,ジョウ・セイ,なさけ,,小学5年(６級),6級,小学5年
慣,漢字,N3,心,14,カン,な（れる）,,小学5年(６級),6級,小学5年
快,漢字,N2,心,7,カイ,こころよ（い）,,小学5年(６級),6級,小学5年
志,漢字,N1,心,7,シ,こころざし,,小学5年(６級),6級,小学5年
応,漢字,N1,心,7,オウ,こた（える）,,小学5年(６級),6級,小学5年
態,漢字,N1,心,14,タイ,-,,小学5年(６級),6級,小学5年
必,漢字,N3,心,5,ヒツ,かなら（ず）,,小学4年(７級),7級,小学4年
念,漢字,N3,心,8,ネン,-,,小学4年(７級),7級,小学4年
愛,漢字,N3,心,13,アイ,-,,小学4年(７級),7級,小学4年
悪,漢字,N4 ,心,11,アク・オ,わる（い）,adjective (),小学3年(８級),8級,小学3年
急,漢字,N4 ,心,9,キュウ,いそ（ぐ）,adjective (),小学3年(８級),8級,小学3年
意,漢字,N4 ,心,13,イ,-,,小学3年(８級),8級,小学3年
息,漢字,N3,心,10,ソク,いき,,小学3年(８級),8級,小学3年
悲,漢字,N3,心,12,ヒ,かな（しい）,,小学3年(８級),8級,小学3年
想,漢字,N3,心,13,ソウ・ソ,-,,小学3年(８級),8級,小学3年
感,漢字,N3,心,13,カン,-,,小学3年(８級),8級,小学3年
心,漢字,N4 ,心,4,シン,こころ,body & face,小学2年(９級),9級,小学2年
思,漢字,N4 ,心,9,シ,おも（う）,verb,小学2年(９級),9級,小学2年
忙,漢字,N3,心,6,ボウ,いそが(しい),,,,
怒,漢字,N3,心,9,ド,いか(る)・おこ(る),,,,
怖,漢字,N3,心,8,フ,こわ(い),,,,
恐,漢字,N3,心,10,キョウ,おそ(れる)・おそ(ろしい),,,,
恥,漢字,N3,心,10,チ,はじ・は(ずかしい),,,,
恋,漢字,N2,心,10,レン,こい・こい(しい),,,,
患,漢字,N2,心,11,カン,わずら(う),,,,
悩,漢字,N2,心,10,ノウ,なや(む)・なや(ます),,,,
憎,漢字,N2,心,14,ゾウ,にく(む)・にく(らしい),,,,
